cena,cena_za_metr,metry,liczba_pokoi,pietro,rynek,rok_budowy,material,wojewodztwo,powiat,gmina,miejscowosc,dzielnica,ulica,link
ERROR: 410 Client Error: Gone for url: https://www.otodom.pl/pl/oferta/1-pietro-3-pokojowe-sloneczne-mieszkanie-z-balkonem-przy-ul-putry-ID4xT6k,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/1-pietro-3-pokojowe-sloneczne-mieszkanie-z-balkonem-przy-ul-putry-ID4xT6k
285 000 zł,10 056 zł/m²,"28,34 m²",1,1,wtórny,,,podlaskie,Białystok,,Białystok,Antoniuk,,https://www.otodom.pl/pl/oferta/1-pietro-cegla-antoniuk-ID4xZIN
